site,age_smoothed_ka,sea_level_smoothed_m,
846 Liseicki,8060,-18.1,
846 Liseicki,8080,-17.9,
846 Liseicki,8100,-18.0,
846 Liseicki,8120,-18.3,
846 Liseicki,8140,-18.8,
846 Liseicki,8160,-19.5,
846 Liseicki,8180,-20.3,
846 Liseicki,8200,-21.2,
846 Liseicki,8220,-22.1,
846 Liseicki,8240,-22.9,
846 Liseicki,8260,-23.7,
846 Liseicki,8280,-24.3,
846 Liseicki,8300,-24.7,
846 Liseicki,8320,-24.9,
846 Liseicki,8340,-24.9,
846 Liseicki,8360,-24.8,
846 Liseicki,8380,-24.5,
846 Liseicki,8400,-24.1,
846 Liseicki,8420,-23.6,
846 Liseicki,8440,-23.2,
846 Liseicki,8460,-22.8,
846 Liseicki,8480,-22.5,
846 Liseicki,8500,-22.3,
846 Liseicki,8520,-22.2,
846 Liseicki,8540,-22.2,
846 Liseicki,8560,-22.3,
846 Liseicki,8580,-22.4,
846 Liseicki,8600,-22.4,
846 Liseicki,8620,-22.4,
846 Liseicki,8640,-22.4,
846 Liseicki,8660,-22.3,
846 Liseicki,8680,-22.2,
846 Liseicki,8700,-22.0,
846 Liseicki,8720,-21.9,
846 Liseicki,8740,-21.8,
846 Liseicki,8760,-21.8,
846 Liseicki,8780,-21.9,
846 Liseicki,8800,-22.1,
846 Liseicki,8820,-22.3,
846 Liseicki,8840,-22.6,
846 Liseicki,8860,-22.8,
846 Liseicki,8880,-22.8,
846 Liseicki,8900,-22.8,
846 Liseicki,8920,-22.5,
846 Liseicki,8940,-22.1,
846 Liseicki,8960,-21.5,
846 Liseicki,8980,-20.8,
846 Liseicki,9000,-20.1,
846 Liseicki,9020,-19.3,
846 Liseicki,9040,-18.6,
846 Liseicki,9060,-18.1,
846 Liseicki,9080,-17.6,
846 Liseicki,9100,-17.3,
846 Liseicki,9120,-17.2,
846 Liseicki,9140,-17.2,
846 Liseicki,9160,-17.3,
846 Liseicki,9180,-17.5,
846 Liseicki,9200,-17.6,
846 Liseicki,9220,-17.8,
846 Liseicki,9240,-17.9,
846 Liseicki,9260,-18.0,
846 Liseicki,9280,-18.0,
846 Liseicki,9300,-18.0,
846 Liseicki,9320,-17.9,
846 Liseicki,9340,-17.7,
846 Liseicki,9360,-17.4,
846 Liseicki,9380,-17.1,
846 Liseicki,9400,-16.6,
846 Liseicki,9420,-16.1,
846 Liseicki,9440,-15.5,
846 Liseicki,9460,-14.9,
846 Liseicki,9480,-14.2,
846 Liseicki,9500,-13.6,
846 Liseicki,9520,-13.0,
846 Liseicki,9540,-12.5,
846 Liseicki,9560,-12.1,
846 Liseicki,9580,-11.8,
846 Liseicki,9600,-11.6,
846 Liseicki,9620,-11.6,
846 Liseicki,9640,-11.7,
846 Liseicki,9660,-11.9,
846 Liseicki,9680,-12.2,
846 Liseicki,9700,-12.5,
846 Liseicki,9720,-12.9,
846 Liseicki,9740,-13.3,
846 Liseicki,9760,-13.7,
846 Liseicki,9780,-14.0,
846 Liseicki,9800,-14.2,
846 Liseicki,9820,-14.3,
846 Liseicki,9840,-14.2,
846 Liseicki,9860,-13.9,
846 Liseicki,9880,-13.5,
846 Liseicki,9900,-12.9,
846 Liseicki,9920,-12.2,
846 Liseicki,9940,-11.4,
846 Liseicki,9960,-10.6,
846 Liseicki,9980,-9.7,
846 Liseicki,10000,-8.9,
846 Liseicki,10020,-8.1,
846 Liseicki,10040,-7.5,
846 Liseicki,10060,-6.8,
846 Liseicki,10080,-6.3,
846 Liseicki,10100,-5.9,
846 Liseicki,10120,-5.5,
846 Liseicki,10140,-5.1,
846 Liseicki,10160,-4.8,
846 Liseicki,10180,-4.6,
846 Liseicki,10200,-4.4,
846 Liseicki,10220,-4.2,
846 Liseicki,10240,-4.1,
846 Liseicki,10260,-3.9,
846 Liseicki,10280,-3.8,
846 Liseicki,10300,-3.6,
846 Liseicki,10320,-3.4,
846 Liseicki,10340,-3.1,
846 Liseicki,10360,-2.9,
846 Liseicki,10380,-2.5,
846 Liseicki,10400,-2.2,
846 Liseicki,10420,-1.8,
846 Liseicki,10440,-1.4,
846 Liseicki,10460,-1.1,
846 Liseicki,10480,-0.7,
846 Liseicki,10500,-0.4,
846 Liseicki,10520,-0.1,
846 Liseicki,10540,0.3,
846 Liseicki,10560,0.7,
846 Liseicki,10580,1.1,
846 Liseicki,10600,1.7,
846 Liseicki,10620,2.3,
846 Liseicki,10640,3.1,
846 Liseicki,10660,3.8,
846 Liseicki,10680,4.6,
846 Liseicki,10700,5.3,
846 Liseicki,10720,5.9,
846 Liseicki,10740,6.3,
846 Liseicki,10760,6.5,
846 Liseicki,10780,6.6,
846 Liseicki,10800,6.4,
846 Liseicki,10820,6.1,
846 Liseicki,10840,5.7,
846 Liseicki,10860,5.2,
846 Liseicki,10880,4.8,
846 Liseicki,10900,4.3,
846 Liseicki,10920,3.8,
846 Liseicki,10940,3.4,
846 Liseicki,10960,2.9,
846 Liseicki,10980,2.5,
846 Liseicki,11000,2.1,
846 Liseicki,11020,1.7,
846 Liseicki,11040,1.3,
846 Liseicki,11060,1.0,
846 Liseicki,11080,0.8,
846 Liseicki,11100,0.6,
846 Liseicki,11120,0.6,
846 Liseicki,11140,0.6,
846 Liseicki,11160,0.7,
846 Liseicki,11180,0.9,
846 Liseicki,11200,1.1,
846 Liseicki,11220,1.3,
846 Liseicki,11240,1.4,
846 Liseicki,11260,1.5,
846 Liseicki,11280,1.5,
846 Liseicki,11300,1.4,
846 Liseicki,11320,1.3,
846 Liseicki,11340,1.1,
846 Liseicki,11360,1.0,
846 Liseicki,11380,0.8,
846 Liseicki,11400,0.7,
846 Liseicki,11420,0.7,
846 Liseicki,11440,0.7,
846 Liseicki,11460,0.8,
846 Liseicki,11480,0.9,
846 Liseicki,11500,0.9,
846 Liseicki,11520,1.0,
846 Liseicki,11540,0.9,
846 Liseicki,11560,0.8,
846 Liseicki,11580,0.7,
846 Liseicki,11600,0.5,
846 Liseicki,11620,0.3,
846 Liseicki,11640,0.0,
846 Liseicki,11660,-0.2,
846 Liseicki,11680,-0.4,
846 Liseicki,11700,-0.6,
846 Liseicki,11720,-0.8,
846 Liseicki,11740,-1.1,
846 Liseicki,11760,-1.3,
846 Liseicki,11780,-1.6,
846 Liseicki,11800,-1.9,
846 Liseicki,11820,-2.1,
846 Liseicki,11840,-2.3,
846 Liseicki,11860,-2.4,
846 Liseicki,11880,-2.3,
846 Liseicki,11900,-2.1,
846 Liseicki,11920,-1.7,
846 Liseicki,11940,-1.1,
846 Liseicki,11960,-0.4,
846 Liseicki,11980,0.5,
846 Liseicki,12000,1.4,
846 Liseicki,12020,2.3,
846 Liseicki,12040,3.2,
846 Liseicki,12060,4.1,
846 Liseicki,12080,4.8,
846 Liseicki,12100,5.5,
846 Liseicki,12120,6.1,
846 Liseicki,12140,6.5,
846 Liseicki,12160,6.8,
846 Liseicki,12180,6.9,
846 Liseicki,12200,6.9,
846 Liseicki,12220,6.7,
846 Liseicki,12240,6.4,
846 Liseicki,12260,6.0,
846 Liseicki,12280,5.4,
846 Liseicki,12300,4.7,
846 Liseicki,12320,3.9,
846 Liseicki,12340,3.1,
846 Liseicki,12360,2.2,
846 Liseicki,12380,1.3,
846 Liseicki,12400,0.4,
846 Liseicki,12420,-0.3,
846 Liseicki,12440,-0.9,
846 Liseicki,12460,-1.4,
846 Liseicki,12480,-1.7,
846 Liseicki,12500,-1.9,
846 Liseicki,12520,-1.9,
846 Liseicki,12540,-1.9,
846 Liseicki,12560,-1.9,
846 Liseicki,12580,-1.8,
846 Liseicki,12600,-1.8,
846 Liseicki,12620,-1.9,
846 Liseicki,12640,-2.0,
846 Liseicki,12660,-2.3,
846 Liseicki,12680,-2.6,
846 Liseicki,12700,-3.1,
846 Liseicki,12720,-3.6,
846 Liseicki,12740,-4.2,
846 Liseicki,12760,-4.8,
846 Liseicki,12780,-5.4,
846 Liseicki,12800,-6.1,
846 Liseicki,12820,-6.7,
846 Liseicki,12840,-7.3,
846 Liseicki,12860,-7.8,
846 Liseicki,12880,-8.2,
846 Liseicki,12900,-8.6,
846 Liseicki,12920,-8.7,
846 Liseicki,12940,-8.7,
846 Liseicki,12960,-8.4,
846 Liseicki,12980,-7.8,
846 Liseicki,13000,-7.0,
846 Liseicki,13020,-5.9,
846 Liseicki,13040,-4.7,
846 Liseicki,13060,-3.3,
846 Liseicki,13080,-1.9,
846 Liseicki,13100,-0.6,
846 Liseicki,13120,0.6,
846 Liseicki,13140,1.5,
846 Liseicki,13160,2.1,
846 Liseicki,13180,2.3,
846 Liseicki,13200,2.3,
846 Liseicki,13220,2.0,
846 Liseicki,13240,1.4,
846 Liseicki,13260,0.7,
846 Liseicki,13280,0.0,
846 Liseicki,13300,-0.6,
846 Liseicki,13320,-1.1,
846 Liseicki,13340,-1.4,
846 Liseicki,13360,-1.6,
846 Liseicki,13380,-1.5,
846 Liseicki,13400,-1.3,
846 Liseicki,13420,-1.0,
846 Liseicki,13440,-0.7,
846 Liseicki,13460,-0.4,
846 Liseicki,13480,-0.3,
846 Liseicki,13500,-0.3,
846 Liseicki,13520,-0.4,
846 Liseicki,13540,-0.8,
846 Liseicki,13560,-1.3,
846 Liseicki,13580,-1.8,
846 Liseicki,13600,-2.4,
846 Liseicki,13620,-2.9,
846 Liseicki,13640,-3.2,
846 Liseicki,13660,-3.2,
846 Liseicki,13680,-2.8,
846 Liseicki,13700,-1.9,
846 Liseicki,13720,-0.6,
846 Liseicki,13740,1.2,
846 Liseicki,13760,3.5,
846 Liseicki,13780,6.2,
846 Liseicki,13800,9.2,
846 Liseicki,13820,12.4,
846 Liseicki,13840,15.5,
846 Liseicki,13860,18.3,
846 Liseicki,13880,20.8,
846 Liseicki,13900,22.8,
846 Liseicki,13920,24.2,
846 Liseicki,13940,25.0,
846 Liseicki,13960,25.3,
846 Liseicki,13980,25.0,
846 Liseicki,14000,24.4,
846 Liseicki,14020,23.6,
846 Liseicki,14040,22.6,
846 Liseicki,14060,21.6,
846 Liseicki,14080,20.7,
846 Liseicki,14100,19.9,
846 Liseicki,14120,19.3,
846 Liseicki,14140,18.8,
846 Liseicki,14160,18.6,
846 Liseicki,14180,18.6,
846 Liseicki,14200,18.6,
846 Liseicki,14220,18.8,
846 Liseicki,14240,19.0,
846 Liseicki,14260,19.3,
846 Liseicki,14280,19.4,
846 Liseicki,14300,19.4,
846 Liseicki,14320,19.3,
846 Liseicki,14340,19.0,
846 Liseicki,14360,18.7,
846 Liseicki,14380,18.2,
846 Liseicki,14400,17.8,
846 Liseicki,14420,17.4,
846 Liseicki,14440,17.2,
846 Liseicki,14460,17.1,
846 Liseicki,14480,17.1,
846 Liseicki,14500,17.3,
846 Liseicki,14520,17.7,
846 Liseicki,14540,18.1,
846 Liseicki,14560,18.6,
846 Liseicki,14580,19.2,
846 Liseicki,14600,19.8,
846 Liseicki,14620,20.4,
846 Liseicki,14640,21.1,
846 Liseicki,14660,21.8,
846 Liseicki,14680,22.5,
846 Liseicki,14700,23.2,
846 Liseicki,14720,24.0,
846 Liseicki,14740,24.9,
846 Liseicki,14760,25.7,
846 Liseicki,14780,26.5,
846 Liseicki,14800,27.2,
846 Liseicki,14820,27.9,
846 Liseicki,14840,28.4,
846 Liseicki,14860,28.9,
846 Liseicki,14880,29.3,
846 Liseicki,14900,29.6,
846 Liseicki,14920,30.0,
846 Liseicki,14940,30.4,
846 Liseicki,14960,30.8,
846 Liseicki,14980,31.3,
846 Liseicki,15000,31.9,
846 Liseicki,15020,32.4,
846 Liseicki,15040,32.8,
846 Liseicki,15060,33.1,
846 Liseicki,15080,33.2,
846 Liseicki,15100,33.0,
846 Liseicki,15120,32.5,
846 Liseicki,15140,31.8,
846 Liseicki,15160,30.7,
846 Liseicki,15180,29.4,
846 Liseicki,15200,27.8,
846 Liseicki,15220,26.2,
846 Liseicki,15240,24.5,
846 Liseicki,15260,22.8,
846 Liseicki,15280,21.2,
846 Liseicki,15300,19.8,
846 Liseicki,15320,18.5,
846 Liseicki,15340,17.6,
846 Liseicki,15360,16.9,
